,Baseline Coordination,Reactive (High trust),Hybrid Foresight (High trust),Hybrid Foresight (Low trust),Automation-driven Foresight
Baseline Coordination,,1.4728503022508675e-281,1.5998427460681967e-223,1.4860377701280332e-265,1.4153208654581315e-139
Reactive (High trust),,,1.7339561565860303e-127,6.948646228446409e-31,4.61740226873025e-171
Hybrid Foresight (High trust),,,,2.5191341791050907e-23,4.360167043093631e-33
Hybrid Foresight (Low trust),,,,,4.253807266844983e-83
Automation-driven Foresight,,,,,
