,Baseline Coordination,Reactive (High trust),Hybrid Foresight (High trust),Hybrid Foresight (Low trust),Automation-driven Foresight
Baseline Coordination,,4.040676468551608e-40,0.0,1.147082907715029e-100,0.0
Reactive (High trust),,,1.3527680379281446e-278,1.4076294969350132e-122,6.5230505112484e-277
Hybrid Foresight (High trust),,,,4.8909817054019104e-231,2.9930714502890423e-05
Hybrid Foresight (Low trust),,,,,1.60652060385009e-237
Automation-driven Foresight,,,,,
