,Baseline Coordination,Reactive (High trust),Hybrid Foresight (High trust),Hybrid Foresight (Low trust),Automation-driven Foresight
Baseline Coordination,,1.178274773463544e-136,8.754522238855614e-220,8.58943296727773e-53,1.242139139699767e-287
Reactive (High trust),,,3.756509260727693e-35,1.4280190692056909e-38,8.243777190402444e-154
Hybrid Foresight (High trust),,,,7.662725241580553e-125,1.2823920030020602e-75
Hybrid Foresight (Low trust),,,,,9.956634901887588e-237
Automation-driven Foresight,,,,,
