,Baseline Coordination,Reactive (High trust),Hybrid Foresight (High trust),Hybrid Foresight (Low trust),Automation-driven Foresight
Baseline Coordination,,1.4190060676927958e-239,3.535764998378231e-297,4.9733214219347976e-105,8.700105916091304e-215
Reactive (High trust),,,0.12669547314360222,4.260904511212604e-114,7.926371738753463e-32
Hybrid Foresight (High trust),,,,2.5430127260135776e-189,2.0312289239447865e-70
Hybrid Foresight (Low trust),,,,,5.702346607543538e-56
Automation-driven Foresight,,,,,
